,City Name,Longitude,Latitude,Temperature,Humidity,Cloud Percent,Wind Speed (mph),Max Temperature,DateTime,Country
296,Zhangjiakou,114.8794,40.81,53.51,85,100,6.53,53.51,1632164758,CN
297,Birjand,59.2211,32.8663,71.92,19,0,7.4,71.92,1632164758,IR
298,New Norfolk,147.0587,-42.7826,44.1,95,52,3.89,44.1,1632164759,AU
299,Biryukove,39.7384,47.9563,61.11,77,88,7.0,61.11,1632164760,UA
300,Esperance,121.9,-33.8667,45.48,86,33,12.33,45.48,1632164761,AU
301,Laguna,-121.4238,38.421,79.52,26,1,14.97,84.49,1632164762,US
302,Hualmay,-77.6139,-11.0964,65.97,70,13,10.56,65.97,1632164763,PE
303,Genhe,121.5167,50.7833,45.7,76,100,2.64,45.7,1632164763,CN
304,Sainte-Maxime,6.6333,43.3,70.43,58,1,4.92,72.52,1632164764,FR
305,Yurimaguas,-76.0833,-5.9,94.15,40,100,2.84,94.15,1632164765,PE
306,Pundaguitan,126.1689,6.3711,81.07,74,70,5.53,81.07,1632164766,PH
307,Katima Mulilo,24.2667,-17.5,80.11,15,0,9.93,80.11,1632164767,NA
308,Yavas,42.8491,54.4159,43.23,90,100,15.05,43.23,1632164767,RU
309,São Francisco do Sul,-48.6381,-26.2433,77.7,77,5,6.91,77.7,1632164671,BR
310,Humaitá,-63.0208,-7.5061,97.95,33,100,2.04,97.95,1632164768,BR
311,Semenivka,32.5818,52.1783,44.22,95,100,13.6,44.22,1632164769,UA
312,Waingapu,120.2641,-9.6567,77.54,78,100,5.91,77.54,1632164770,ID
313,Cururupu,-44.8683,-1.8283,84.97,59,43,6.93,84.97,1632164745,BR
314,Vanavara,102.2797,60.34,46.31,97,100,9.75,46.31,1632164771,RU
315,Kamiiso,140.65,41.8167,60.17,90,25,5.32,60.17,1632164772,JP
316,Preobrazheniye,133.9064,42.9019,60.87,79,100,7.07,60.87,1632164772,RU
317,Quatre Cocos,57.7625,-20.2078,69.04,73,39,17.27,69.04,1632164773,MU
318,Iralaya,-83.2333,15.0,87.89,67,100,6.42,87.89,1632164774,HN
319,Bagdarin,113.6,54.4333,43.72,94,47,1.66,43.72,1632164774,RU
